forecast_date,target,target_end_date,location,type,quantile,value
2021-11-01,1 day ahead inc hosp,2021-11-02,50,quantile,0.01,5.690438491116383
2021-11-01,2 day ahead inc hosp,2021-11-03,50,quantile,0.01,5.653791972592922
2021-11-01,3 day ahead inc hosp,2021-11-04,50,quantile,0.01,5.7060684643027395
2021-11-01,4 day ahead inc hosp,2021-11-05,50,quantile,0.01,5.583776722003688
2021-11-01,5 day ahead inc hosp,2021-11-06,50,quantile,0.01,3.2732530778179925
2021-11-01,6 day ahead inc hosp,2021-11-07,50,quantile,0.01,5.475872093690253
2021-11-01,7 day ahead inc hosp,2021-11-08,50,quantile,0.01,4.392396851231956
2021-11-01,1 day ahead inc hosp,2021-11-02,56,quantile,0.01,26.014378725305335
2021-11-01,2 day ahead inc hosp,2021-11-03,56,quantile,0.01,26.402579426269078
2021-11-01,3 day ahead inc hosp,2021-11-04,56,quantile,0.01,24.95681361314225
2021-11-01,4 day ahead inc hosp,2021-11-05,56,quantile,0.01,25.28353090660388
2021-11-01,5 day ahead inc hosp,2021-11-06,56,quantile,0.01,24.7123713665482
2021-11-01,6 day ahead inc hosp,2021-11-07,56,quantile,0.01,24.875047154100404
2021-11-01,7 day ahead inc hosp,2021-11-08,56,quantile,0.01,22.452527159210035
2021-11-01,1 day ahead inc hosp,2021-11-02,33,quantile,0.01,12.492472658057729
2021-11-01,2 day ahead inc hosp,2021-11-03,33,quantile,0.01,12.347117438748603
2021-11-01,3 day ahead inc hosp,2021-11-04,33,quantile,0.01,12.457068776336525
2021-11-01,4 day ahead inc hosp,2021-11-05,33,quantile,0.01,12.141264618273755
2021-11-01,5 day ahead inc hosp,2021-11-06,33,quantile,0.01,7.1201115570902545
2021-11-01,6 day ahead inc hosp,2021-11-07,33,quantile,0.01,11.99024236871696
2021-11-01,7 day ahead inc hosp,2021-11-08,33,quantile,0.01,9.716695538049567
2021-11-01,1 day ahead inc hosp,2021-11-02,44,quantile,0.01,6.7866841405574965
2021-11-01,2 day ahead inc hosp,2021-11-03,44,quantile,0.01,6.354825965389448
2021-11-01,3 day ahead inc hosp,2021-11-04,44,quantile,0.01,6.751755543321654
2021-11-01,4 day ahead inc hosp,2021-11-05,44,quantile,0.01,6.388635056303629
2021-11-01,5 day ahead inc hosp,2021-11-06,44,quantile,0.01,3.247390739385663
2021-11-01,6 day ahead inc hosp,2021-11-07,44,quantile,0.01,6.343359637179508
2021-11-01,7 day ahead inc hosp,2021-11-08,44,quantile,0.01,5.345578099030896
2021-11-01,1 day ahead inc hosp,2021-11-02,32,quantile,0.01,38.91226788176759
2021-11-01,2 day ahead inc hosp,2021-11-03,32,quantile,0.01,42.098480363159055
2021-11-01,3 day ahead inc hosp,2021-11-04,32,quantile,0.01,39.35694929505588
